LETTER,LAYER,LL,LR,LM,LI,RI,RM,RR,RL,Total_Occurances
q,0,0,20,0,0,0,0,0,0,20
w,0,0,20,0,0,0,0,0,0,20
e,0,0,0,20,0,0,0,0,0,20
r,0,0,0,0,20,0,0,0,0,20
t,0,0,0,0,20,0,0,0,0,20
y,0,0,0,0,0,20,0,0,0,20
u,0,0,0,0,0,20,0,0,0,20
i,0,0,0,0,0,2,18,0,0,20
o,0,0,0,0,0,0,20,0,0,20
p,0,0,0,0,0,0,16,4,0,20
a,1,20,0,0,0,0,0,0,0,20
s,1,0,20,0,0,0,0,0,0,20
d,1,0,0,20,0,0,0,0,0,20
f,1,0,0,0,20,0,0,0,0,20
g,1,0,0,0,20,0,0,0,0,20
h,1,0,0,0,0,20,0,0,0,20
j,1,0,0,0,0,20,0,0,0,20
k,1,0,0,0,0,0,20,0,0,20
l,1,0,0,0,0,0,0,20,0,20
z,2,0,20,0,0,0,0,0,0,20
x,2,0,18,2,0,0,0,0,0,20
c,2,0,0,11,9,0,0,0,0,20
v,2,0,0,0,20,0,0,0,0,20
b,2,0,0,0,0,20,0,0,0,20
n,2,0,0,0,0,20,0,0,0,20
m,2,0,0,0,0,2,18,0,0,20
