"LAYER","LETTER","LL","LR","LM","LI","RI","RM","RR","RL","Total_Occurances"
"0","q","1","21","0","0","0","1","0","0","23"
"0","w","0","23","0","0","0","0","0","0","23"
"0","e","0","0","21","1","0","0","0","0","22"
"0","r","0","0","0","23","0","0","0","0","23"
"0","t","0","0","0","23","0","0","0","0","23"
"0","y","0","0","0","0","23","0","0","0","23"
"0","u","0","0","0","0","23","0","0","0","23"
"0","i","0","0","0","0","1","21","0","0","22"
"0","o","0","0","0","0","2","20","1","0","23"
"0","p","0","0","0","0","0","19","4","0","23"
"1","a","20","2","0","0","0","0","0","0","22"
"1","s","0","22","1","0","0","0","0","0","23"
"1","d","0","0","20","2","0","0","0","0","22"
"1","f","0","0","0","22","0","0","0","0","22"
"1","g","0","0","0","22","0","0","0","0","22"
"1","h","0","0","0","0","22","0","0","0","22"
"1","j","0","0","0","0","21","2","0","0","23"
"1","k","0","0","0","0","0","23","0","0","23"
"1","l","0","0","0","0","0","0","23","0","23"
"2","z","0","23","0","0","0","0","0","0","23"
"2","x","0","23","0","0","0","0","0","0","23"
"2","c","0","0","7","14","1","0","0","0","22"
"2","v","0","0","0","23","0","0","0","0","23"
"2","b","0","0","0","0","22","0","0","0","22"
"2","n","0","0","0","0","23","0","0","0","23"
"2","m","0","0","0","0","0","23","0","0","23"
