the,414
and,704
i,314
of,1074
to,24
a,2299
in,8
you,55
that,231
my,1
is,450
it,3
not,232
me,32
with,227
s,359
d,25
his,721
for,682
he,2638
be,226
and,704
as,229
have,6
him,42
this,244
your,221
her,273
was,254
the,414
so,225
but,7
will,5
all,98
on,3
thou,1
are,352
by,668
we,1240
do,604
at,7
had,173
from,2
she,1109
thy,400
shall,477
to,24
no,12
or,683
thee,19
our,1
which,2
what,2
that,231
what,2
would,290
but,7
them,2
they,1
more,234
ll,2667
good,605
if,7
he,2638
their,3
now,894
were,211
man,27
one,260
an,3
am,64
there,1010
o,838
a,2299
us,1
love,1
like,2
know,91
when,1161
out,151
come,1010
lord,378
t,32
then,907
you,55
enter,392
must,1
well,2
for,682
if,7
may,223
than,426
here,716
did,275
see,1
up,32
sir,272
should,157
my,1
make,166
say,18
some,4
can,190
it,3
been,14
time,82
as,229
hath,1
upon,335
go,558
let,993
such,150
of,1074
too,63
in,8
yet,424
this,244
much,1
think,90
said,10
king,398
these,275
king,398
could,78
day,14
why,354
any,23
how,1211
into,94
heart,1
other,6
made,2
we,1240
night,2
take,230
no,12
most,204
very,64
how,1211
who,783
hand,1
give,6
when,1161
great,121
life,3
men,4
so,225
tell,1
mine,98
she,1109
never,143
with,227
speak,1
father,7
th,97
of,1074
st,1
down,31
again,32
own,1053
god,90
before,3
exeunt,7
old,41
where,724
come,1010
there,1010
eyes,3
death,64
is,450
away,1
let,993
exit,9
art,2
thou,1
way,1
by,668
hear,91
which,2
then,907
two,12
look,289
now,894
done,7
about,1
many,2
o,838
being,124
little,20
cannot,46
TRUE,66
they,1
world,5
has,48
doth,123
tis,710
blood,8
long,40
fear,55
poor,116
first,102
who,783
er,1
house,25
off,13
back,14
ever,22
well,2
face,1
sweet,144
name,21
sir,272
lord,378
place,8
fair,63
still,80
only,77
dear,1
might,49
though,268
where,724
over,1
head,27
his,721
leave,53
better,37
here,716
nothing,1
call,123
tis,710
came,39
those,4
and,704
or,683
after,154
ay,86
both,29
part,5
son,27
nor,1
your,221
or,683
for,682
himself,12
thought,4
by,668
find,26
myself,55
put,58
dead,65
scene,55
thus,202
even,6
comes,27
work,3
word,3
honour,16
wife,12
till,211
friend,1
