LAYER,LETTER,LL,LR,LM,LI,RI,RM,RR,RL,Total_Occurances
0,q,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0,w,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
0,e,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,27.0
0,r,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,23.0
0,t,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0
0,y,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0
0,u,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0
0,i,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,18.0
0,o,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,26.0
0,p,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,12.0
1,a,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
1,s,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0
1,d,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0
1,f,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0
1,g,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
1,h,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0
1,j,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0
1,k,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0
1,l,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0
2,z,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2,x,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
2,c,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,12.0
2,v,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
2,b,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0
2,n,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,17.0
2,m,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,12.0
